k,Energy (eV)
1.264631,3.985139
1.288686,3.98786
1.31274,3.978336
1.336803,3.919831
1.360857,3.838196
1.384907,3.861326
1.40897,3.798739
1.433024,3.732071
1.457078,3.665402
1.481141,3.605537
1.505195,3.556556
1.529245,3.51846
1.553308,3.496691
1.577362,3.488527
,
,
1.000009,5.74709
1.024064,5.704912
1.048127,5.598786
1.072181,5.460008
1.096235,5.306262
1.120298,5.145713
1.144348,4.983804
1.168402,4.823256
1.192465,4.666789
1.216519,4.517126
1.240573,4.379707
1.264631,4.257255
1.288686,4.149769
1.31274,4.043643
1.336803,3.953846
1.360857,3.914388
1.384907,3.866768
1.40897,3.966091
1.433024,4.10487
1.457078,4.270861
1.481141,4.459981
1.505195,4.666789
1.529245,4.8804
1.553308,5.064079
1.577362,5.051833
,
,
1.000009,6.261389
1.024064,6.283158
1.048127,6.323976
1.072181,6.356629
1.096235,6.366153
1.120298,6.351187
1.144348,6.309009
1.168402,6.234177
1.192465,6.114447
1.216519,5.933489
1.240573,5.692667
1.264631,5.423272
1.288686,5.174285
1.31274,5.002852
1.336803,4.962035
1.360857,5.050473
1.384907,5.223266
1.40897,5.432796
1.433024,5.401503
1.457078,5.315786
1.481141,5.238233
1.505195,5.171565
1.529245,5.11442
1.553308,5.08993
1.577362,5.189252
,
,
1.000009,7.114472
1.024064,7.132161
1.048127,7.183862
1.072181,7.265497
1.096235,7.359377
1.120298,7.426045
1.144348,7.348492
1.168402,7.10903
1.192465,6.838275
1.216519,6.597452
1.240573,6.406971
1.264631,6.251865
1.288686,6.111725
1.31274,5.979749
1.336803,5.851855
1.360857,5.729403
1.384907,5.613753
1.40897,5.519873
1.433024,5.460008
1.457078,5.379733
1.481141,5.313065
1.505195,5.261363
